Angle deg,Incidence angle rad,IAM_transv SAM,IAM_log SAM,IAM_transv SOL,IAM_log SOL,IAM_log SOL_real,IAM_transv SOL_real,IAM_transv SOL_old,IAM_log SOL_old
61.3,1.069886831,0.669168126,0.308608668,0.604408337,0.398312285,,,0.683918436,0.42406237
61.4,1.071632161,0.667578491,0.306541847,0.602646358,0.396582517,,,0.682258752,0.42244614
61.5,1.07337749,0.66598386,0.30447642,0.600880948,0.394852422,,,0.680593774,0.420829144
61.6,1.075122819,0.664384224,0.302412434,0.599112121,0.393122018,,,0.678923504,0.419211397
61.7,1.076868148,0.662779576,0.300349935,0.597339889,0.391391323,,,0.677247945,0.417592911
61.8,1.078613478,0.66116991,0.298288971,0.595564266,0.389660356,,,0.6755671,0.415973701
61.9,1.080358807,0.659555216,0.296229587,0.593785266,0.387929136,,,0.673880972,0.414353781
62,1.082104136,0.657935488,0.294171831,0.592002902,0.386197681,,,0.672189565,0.412733163
62.1,1.083849465,0.656310719,0.292115751,0.590217189,0.384466011,,,0.670492882,0.411111862
62.2,1.085594795,0.654680901,0.290061393,0.588428139,0.382734143,,,0.668790925,0.409489892
62.3,1.087340124,0.653046027,0.288008805,0.586635766,0.381002097,,,0.667083699,0.407867267
62.4,1.089085453,0.651406088,0.285958035,0.584840085,0.379269892,,,0.665371208,0.406244
62.5,1.090830782,0.649761079,0.283909131,0.583041109,0.377537547,,,0.663653453,0.404620105
62.6,1.092576112,0.648110991,0.28186214,0.581238853,0.375805081,,,0.661930439,0.402995596
62.7,1.094321441,0.646455817,0.279817111,0.579433331,0.374072513,,,0.660202171,0.401370488
62.8,1.09606677,0.644795549,0.277774093,0.577624556,0.372339862,,,0.65846865,0.399744795
62.9,1.0978121,0.64313018,0.275733133,0.575812544,0.370607147,,,0.656729882,0.39811853
63,1.099557429,0.641459703,0.273694281,0.573997308,0.368874388,,,0.65498587,0.396491708
63.1,1.101302758,0.639784111,0.271657584,0.572178864,0.367141605,,,0.653236618,0.394864343
63.2,1.103048087,0.638103395,0.269623093,0.570357225,0.365408815,,,0.65148213,0.393236449
63.3,1.104793417,0.636417548,0.267590856,0.568532407,0.363676039,,,0.649722411,0.39160804
